品类,月份,库存量
category113,2023-01-01,2136
category113,2023-02-01,2206
category113,2023-03-01,2435
category113,2023-04-01,2688
category113,2023-05-01,3040
category113,2023-06-01,2935
category113,2023-07-01,2702
category113,2023-08-01,2746
category113,2023-09-01,2806
category114,2022-07-01,28431
category114,2022-08-01,27441
category114,2022-09-01,26500
category114,2023-01-01,30993
category114,2023-02-01,26436
category114,2023-03-01,25742
category114,2023-04-01,39419
category114,2023-05-01,37543
category114,2023-06-01,34523
category114,2023-07-01,32505
category114,2023-08-01,31991
category114,2023-09-01,31532
category115,2022-07-01,90
category115,2022-08-01,106
category115,2022-09-01,136
category115,2023-01-01,124
category115,2023-02-01,96
category115,2023-03-01,155
category115,2023-04-01,145
category115,2023-05-01,138
category115,2023-06-01,150
category115,2023-07-01,127
category115,2023-08-01,135
category115,2023-09-01,149
category116,2022-07-01,15985
category116,2022-08-01,8246
category116,2022-09-01,8746
category116,2023-01-01,22874
category116,2023-02-01,26104
category116,2023-03-01,19532
category116,2023-04-01,15203
category116,2023-05-01,14171
category116,2023-06-01,15649
category116,2023-07-01,15559
category116,2023-08-01,11898
category116,2023-09-01,12083
category117,2022-07-01,3600
category117,2022-08-01,3827
category117,2022-09-01,3834
category117,2023-01-01,3937
category117,2023-02-01,5123
category117,2023-03-01,6693
category117,2023-04-01,6137
category117,2023-05-01,5689
category117,2023-06-01,6031
category117,2023-07-01,4840
category117,2023-08-01,4991
category117,2023-09-01,5011
category118,2022-07-01,29097
category118,2022-08-01,21548
category118,2022-09-01,20892
category118,2023-01-01,40004
category118,2023-02-01,27962
category118,2023-03-01,35946
category118,2023-04-01,42200
category118,2023-05-01,36407
category118,2023-06-01,42465
category118,2023-07-01,33830
category118,2023-08-01,29298
category118,2023-09-01,29311
category119,2022-07-01,752
category119,2022-08-01,608
category119,2022-09-01,598
category119,2023-01-01,8648
category119,2023-02-01,5391
category119,2023-03-01,4832
category119,2023-04-01,3671
category119,2023-05-01,3040
category119,2023-06-01,1687
category119,2023-07-01,1131
category119,2023-08-01,807
category119,2023-09-01,595
category12,2022-07-01,127657
category12,2022-08-01,103022
category12,2022-09-01,125522
category12,2023-01-01,198869
category12,2023-02-01,122945
category12,2023-03-01,101330
category12,2023-04-01,93481
category12,2023-05-01,78068
category12,2023-06-01,113440
category12,2023-07-01,104200
category12,2023-08-01,100803
category12,2023-09-01,109744
category120,2022-07-01,5813
category120,2022-08-01,5636
category120,2022-09-01,4524
category120,2023-01-01,3126
category120,2023-02-01,3044
category120,2023-03-01,2314
category120,2023-04-01,2582
category120,2023-05-01,2760
category120,2023-06-01,2687
category120,2023-07-01,4064
category120,2023-08-01,3942
category120,2023-09-01,3384
category121,2022-07-01,87321
category121,2022-08-01,67684
category121,2022-09-01,78193
category121,2023-01-01,73107
category121,2023-02-01,61220
category121,2023-03-01,69455
category121,2023-04-01,70491
category121,2023-05-01,69047
category121,2023-06-01,98387
category121,2023-07-01,92683
category121,2023-08-01,90742
category121,2023-09-01,99159
category122,2022-07-01,59803
category122,2022-08-01,45850
category122,2022-09-01,46530
category122,2023-01-01,61581
category122,2023-02-01,49804
category122,2023-03-01,40741
category122,2023-04-01,44718
category122,2023-05-01,53901
category122,2023-06-01,93559
category122,2023-07-01,59803
category122,2023-08-01,45850
category122,2023-09-01,46530
category123,2022-07-01,11388
category123,2022-08-01,11864
category123,2022-09-01,12440
category123,2023-01-01,16908
category123,2023-02-01,13662
category123,2023-03-01,13270
category123,2023-04-01,13909
category123,2023-05-01,16321
category123,2023-06-01,19439
category123,2023-07-01,14614
category123,2023-08-01,15548
category123,2023-09-01,16429
category124,2022-07-01,69890
category124,2022-08-01,73347
category124,2022-09-01,72500
category124,2023-01-01,109017
category124,2023-02-01,62838
category124,2023-03-01,67332
category124,2023-04-01,110668
category124,2023-05-01,155076
category124,2023-06-01,182624
category124,2023-07-01,69890
category124,2023-08-01,73347
category124,2023-09-01,72500
category125,2022-07-01,4714
category125,2022-08-01,4994
category125,2022-09-01,4561
category125,2023-01-01,4592
category125,2023-02-01,4194
category125,2023-03-01,4346
category125,2023-04-01,5222
category125,2023-05-01,4148
category125,2023-06-01,4832
category125,2023-07-01,4736
category125,2023-08-01,4866
category125,2023-09-01,4826
category126,2022-07-01,1603
category126,2022-08-01,1701
category126,2022-09-01,1600
category126,2023-01-01,1893
category126,2023-02-01,2087
category126,2023-03-01,2061
category126,2023-04-01,2413
category126,2023-05-01,2007
category126,2023-06-01,3078
category126,2023-07-01,2098
category126,2023-08-01,2188
category126,2023-09-01,2164
category127,2022-07-01,15859
category127,2022-08-01,14331
category127,2022-09-01,10734
category127,2023-01-01,14603
category127,2023-02-01,13786
category127,2023-03-01,14432
category127,2023-04-01,18573
category127,2023-05-01,16023
category127,2023-06-01,16873
category127,2023-07-01,16783
category127,2023-08-01,16408
category127,2023-09-01,15245
category128,2022-07-01,174484
category128,2022-08-01,202947
category128,2022-09-01,200200
category128,2023-01-01,225432
category128,2023-02-01,213641
category128,2023-03-01,182891
category128,2023-04-01,182095
category128,2023-05-01,158451
category128,2023-06-01,159945
category128,2023-07-01,157833
category128,2023-08-01,160674
category128,2023-09-01,153196
category129,2022-07-01,2299
category129,2022-08-01,6984
category129,2022-09-01,10224
category129,2023-01-01,103809
category129,2023-02-01,82729
category129,2023-03-01,96786
category129,2023-04-01,133312
category129,2023-05-01,142020
category129,2023-06-01,160529
category129,2023-07-01,2299
category129,2023-08-01,6984
category129,2023-09-01,10224
category13,2022-07-01,34322
category13,2022-08-01,35913
category13,2022-09-01,35288
category13,2023-01-01,41053
category13,2023-02-01,39624
category13,2023-03-01,37887
category13,2023-04-01,39582
category13,2023-05-01,37256
category13,2023-06-01,37452
category13,2023-07-01,36548
category13,2023-08-01,36758
category13,2023-09-01,36497
category130,2022-07-01,537259
category130,2022-08-01,416780
category130,2022-09-01,369601
category130,2023-01-01,559657
category130,2023-02-01,655199
category130,2023-03-01,435545
category130,2023-04-01,365006
category130,2023-05-01,310524
category130,2023-06-01,478360
category130,2023-07-01,492916
category130,2023-08-01,463149
category130,2023-09-01,454131
category131,2022-07-01,355
category131,2022-08-01,195
category131,2022-09-01,135
category131,2023-01-01,665
category131,2023-02-01,1634
category131,2023-03-01,2156
category131,2023-04-01,2550
category131,2023-05-01,1488
category131,2023-06-01,6982
category131,2023-07-01,355
category131,2023-08-01,195
category131,2023-09-01,135
category132,2022-07-01,5317
category132,2022-08-01,4066
category132,2022-09-01,3557
category132,2023-01-01,10730
category132,2023-02-01,6310
category132,2023-03-01,4909
category132,2023-04-01,3355
category132,2023-05-01,1289
category132,2023-06-01,1021
category132,2023-07-01,4127
category132,2023-08-01,3016
category132,2023-09-01,2507
category133,2022-07-01,978
category133,2022-08-01,1163
category133,2022-09-01,1527
category133,2023-01-01,2182
category133,2023-02-01,1858
category133,2023-03-01,1890
category133,2023-04-01,2587
category133,2023-05-01,2769
category133,2023-06-01,3543
category133,2023-07-01,978
category133,2023-08-01,1163
category133,2023-09-01,1527
category134,2022-07-01,1372
category134,2022-08-01,1354
category134,2022-09-01,1352
category134,2023-01-01,457
category134,2023-02-01,458
category134,2023-03-01,456
category134,2023-04-01,454
category134,2023-05-01,453
category134,2023-06-01,187
category134,2023-07-01,1019
category134,2023-08-01,961
category134,2023-09-01,915
category135,2022-07-01,86894
category135,2022-08-01,89804
category135,2022-09-01,84333
category135,2023-01-01,92026
category135,2023-02-01,88765
category135,2023-03-01,90813
category135,2023-04-01,97125
category135,2023-05-01,92442
category135,2023-06-01,96619
category135,2023-07-01,94454
category135,2023-08-01,95962
category135,2023-09-01,95108
category136,2022-07-01,120504
category136,2022-08-01,98233
category136,2022-09-01,93988
category136,2023-01-01,62791
category136,2023-02-01,59719
category136,2023-03-01,57846
category136,2023-04-01,58959
category136,2023-05-01,57144
category136,2023-06-01,59578
category136,2023-07-01,84074
category136,2023-08-01,74887
category136,2023-09-01,73210
category137,2022-07-01,19069
category137,2022-08-01,156538
category137,2022-09-01,748353
category137,2023-01-01,1052907
category137,2023-02-01,1066015
category137,2023-03-01,841817
category137,2023-04-01,813666
category137,2023-05-01,816840
category137,2023-06-01,1228225
category137,2023-07-01,19069
category137,2023-08-01,156538
category137,2023-09-01,748353
category138,2022-07-01,58186
category138,2022-08-01,55833
category138,2022-09-01,51387
category138,2023-01-01,58290
category138,2023-02-01,54218
category138,2023-03-01,53681
category138,2023-04-01,64385
category138,2023-05-01,57449
category138,2023-06-01,57631
category138,2023-07-01,59178
category138,2023-08-01,59129
category138,2023-09-01,58456
category139,2022-07-01,3333
category139,2022-08-01,3315
category139,2022-09-01,1612
category139,2023-01-01,49248
category139,2023-02-01,67406
category139,2023-03-01,60765
category139,2023-04-01,43155
category139,2023-05-01,41658
category139,2023-06-01,158324
category139,2023-07-01,3333
category139,2023-08-01,3315
category139,2023-09-01,1612
category14,2022-07-01,3644
category14,2022-08-01,4450
category14,2022-09-01,5339
category14,2023-01-01,8986
category14,2023-02-01,7761
category14,2023-03-01,6771
category14,2023-04-01,6787
category14,2023-05-01,9154
category14,2023-06-01,8477
category14,2023-07-01,5291
category14,2023-08-01,5790
category14,2023-09-01,6350
category140,2022-07-01,30743
category140,2022-08-01,30062
category140,2022-09-01,26174
category140,2023-01-01,22456
category140,2023-02-01,19509
category140,2023-03-01,25203
category140,2023-04-01,27898
category140,2023-05-01,24942
category140,2023-06-01,27074
category140,2023-07-01,28203
category140,2023-08-01,28347
category140,2023-09-01,27648
category141,2022-07-01,1709579
category141,2022-08-01,1829109
category141,2022-09-01,2036315
category141,2023-01-01,2260125
category141,2023-02-01,1731460
category141,2023-03-01,1653061
category141,2023-04-01,1566902
category141,2023-05-01,1486768
category141,2023-06-01,1277890
category141,2023-07-01,1429469
category141,2023-08-01,1434362
category141,2023-09-01,1479980
category142,2022-07-01,786
category142,2022-08-01,679
category142,2022-09-01,621
category142,2023-01-01,628
category142,2023-02-01,637
category142,2023-03-01,720
category142,2023-04-01,761
category142,2023-05-01,881
category142,2023-06-01,969
category142,2023-07-01,912
category142,2023-08-01,898
category142,2023-09-01,909
category143,2022-07-01,81881
category143,2022-08-01,62180
category143,2022-09-01,53145
category143,2023-01-01,73511
category143,2023-02-01,67813
category143,2023-03-01,54625
category143,2023-04-01,57986
category143,2023-05-01,50374
category143,2023-06-01,54864
category143,2023-07-01,59509
category143,2023-08-01,51099
category143,2023-09-01,46547
category144,2022-07-01,7237
category144,2022-08-01,4801
category144,2022-09-01,3710
category144,2023-01-01,9928
category144,2023-02-01,5294
category144,2023-03-01,5024
category144,2023-04-01,3068
category144,2023-05-01,2609
category144,2023-06-01,4441
category144,2023-07-01,4646
category144,2023-08-01,3927
category144,2023-09-01,3645
category145,2022-07-01,2021
category145,2022-08-01,1370
category145,2022-09-01,491
category145,2023-01-01,4474
category145,2023-02-01,2886
category145,2023-03-01,3533
category145,2023-04-01,5425
category145,2023-05-01,7526
category145,2023-06-01,13484
category145,2023-07-01,2021
category145,2023-08-01,1370
category145,2023-09-01,491
category146,2022-07-01,70816
category146,2022-08-01,50717
category146,2022-09-01,33850
category146,2023-01-01,69327
category146,2023-02-01,59841
category146,2023-03-01,55835
category146,2023-04-01,60279
category146,2023-05-01,74032
category146,2023-06-01,78093
category146,2023-07-01,75458
category146,2023-08-01,64306
category146,2023-09-01,54889
category147,2022-07-01,4511
category147,2022-08-01,4290
category147,2022-09-01,4484
category147,2023-01-01,7653
category147,2023-02-01,6134
category147,2023-03-01,4996
category147,2023-04-01,4534
category147,2023-05-01,4781
category147,2023-06-01,5372
category147,2023-07-01,4928
category147,2023-08-01,4752
category147,2023-09-01,4707
category148,2022-07-01,144414
category148,2022-08-01,2395
category148,2022-09-01,3184
category148,2023-01-01,1258
category148,2023-02-01,177
category148,2023-03-01,1059
category148,2023-04-01,1139
category148,2023-05-01,1491
category148,2023-06-01,1411
category148,2023-07-01,67762
category148,2023-08-01,2117
category148,2023-09-01,2547
category149,2022-07-01,497
category149,2022-08-01,413
category149,2022-09-01,414
category149,2023-01-01,359
category149,2023-02-01,574
category149,2023-03-01,399
category149,2023-04-01,357
category149,2023-05-01,527
category149,2023-06-01,642
category149,2023-07-01,584
category149,2023-08-01,558
category149,2023-09-01,571
category15,2022-07-01,207778
category15,2022-08-01,192157
category15,2022-09-01,205495
category15,2023-01-01,215329
category15,2023-02-01,190842
category15,2023-03-01,197470
category15,2023-04-01,183711
category15,2023-05-01,190230
category15,2023-06-01,227671
category15,2023-07-01,217821
category15,2023-08-01,222060
category15,2023-09-01,232621
category150,2022-07-01,5975
category150,2022-08-01,4111
category150,2022-09-01,3694
category150,2023-01-01,5193
category150,2023-02-01,4866
category150,2023-03-01,3668
category150,2023-04-01,5042
category150,2023-05-01,2941
category150,2023-06-01,4992
category150,2023-07-01,4613
category150,2023-08-01,4071
category150,2023-09-01,3927
category151,2022-07-01,131713
category151,2022-08-01,125365
category151,2022-09-01,133537
category151,2023-01-01,124577
category151,2023-02-01,117729
category151,2023-03-01,125703
category151,2023-04-01,107137
category151,2023-05-01,101933
category151,2023-06-01,142904
category151,2023-07-01,117424
category151,2023-08-01,116336
category151,2023-09-01,118986
category152,2022-07-01,47774
category152,2022-08-01,43325
category152,2022-09-01,44576
category152,2023-01-01,77007
category152,2023-02-01,59435
category152,2023-03-01,74638
category152,2023-04-01,92394
category152,2023-05-01,105674
category152,2023-06-01,119770
category152,2023-07-01,47774
category152,2023-08-01,43325
category152,2023-09-01,44576
category153,2022-07-01,893591
category153,2022-08-01,894672
category153,2022-09-01,493190
category153,2023-01-01,1035659
category153,2023-02-01,913943
category153,2023-03-01,645417
category153,2023-04-01,462699
category153,2023-05-01,374592
category153,2023-06-01,375739
category153,2023-07-01,643586
category153,2023-08-01,603937
category153,2023-09-01,318454
category154,2022-07-01,89142
category154,2022-08-01,70248
category154,2022-09-01,90082
category154,2023-01-01,91426
category154,2023-02-01,83337
category154,2023-03-01,83395
category154,2023-04-01,80007
category154,2023-05-01,90357
category154,2023-06-01,121397
category154,2023-07-01,103376
category154,2023-08-01,95854
category154,2023-09-01,117233
category155,2022-07-01,3459
category155,2022-08-01,3845
category155,2022-09-01,4194
category155,2023-01-01,5748
category155,2023-02-01,3833
category155,2023-03-01,4358
category155,2023-04-01,4190
category155,2023-05-01,4532
category155,2023-06-01,4091
category155,2023-07-01,4092
category155,2023-08-01,4226
category155,2023-09-01,4344
category156,2022-07-01,19966
category156,2022-08-01,14766
category156,2022-09-01,13632
category156,2023-01-01,20683
category156,2023-02-01,9664
category156,2023-03-01,19152
category156,2023-04-01,19532
category156,2023-05-01,19758
category156,2023-06-01,24413
category156,2023-07-01,22359
category156,2023-08-01,20122
category156,2023-09-01,20140
category157,2022-07-01,19000
category157,2022-08-01,18507
category157,2022-09-01,14888
category157,2023-01-01,14080
category157,2023-02-01,11821
category157,2023-03-01,9611
category157,2023-04-01,9309
category157,2023-05-01,13060
category157,2023-06-01,16863
category157,2023-07-01,19525
category157,2023-08-01,20986
category157,2023-09-01,21037
category158,2022-07-01,8225
category158,2022-08-01,7247
category158,2022-09-01,6776
category158,2023-01-01,10532
category158,2023-02-01,8356
category158,2023-03-01,9295
category158,2023-04-01,8084
category158,2023-05-01,8189
category158,2023-06-01,7933
category158,2023-07-01,7935
category158,2023-08-01,7626
category158,2023-09-01,7454
category159,2022-07-01,25
category159,2022-08-01,25
category159,2022-09-01,25
category159,2023-01-01,25
category159,2023-02-01,25
category159,2023-03-01,25
category159,2023-04-01,25
category159,2023-05-01,25
category159,2023-06-01,25
category159,2023-07-01,25
category159,2023-08-01,25
category159,2023-09-01,25
category16,2022-07-01,96511
category16,2022-08-01,91087
category16,2022-09-01,87679
category16,2023-01-01,97513
category16,2023-02-01,90909
category16,2023-03-01,87479
category16,2023-04-01,100318
category16,2023-05-01,92125
category16,2023-06-01,96316
category16,2023-07-01,95883
category16,2023-08-01,95659
category16,2023-09-01,95696
category160,2022-07-01,104745
category160,2022-08-01,78544
category160,2022-09-01,69363
category160,2023-01-01,98867
category160,2023-02-01,99852
category160,2023-03-01,77097
category160,2023-04-01,67744
category160,2023-05-01,58036
category160,2023-06-01,58785
category160,2023-07-01,73921
category160,2023-08-01,63334
category160,2023-09-01,59189
category161,2022-07-01,206399
category161,2022-08-01,141869
category161,2022-09-01,108428
category161,2023-01-01,162054
category161,2023-02-01,110793
category161,2023-03-01,120451
category161,2023-04-01,126370
category161,2023-05-01,129973
category161,2023-06-01,139717
category161,2023-07-01,164953
category161,2023-08-01,148014
category161,2023-09-01,140564
category162,2022-07-01,2419
category162,2022-08-01,1479
category162,2022-09-01,985
category162,2023-01-01,1240
category162,2023-02-01,798
category162,2023-03-01,2259
category162,2023-04-01,927
category162,2023-05-01,2659
category162,2023-06-01,1321
category162,2023-07-01,2197
category162,2023-08-01,1781
category162,2023-09-01,1577
category163,2022-07-01,27349
category163,2022-08-01,27258
category163,2022-09-01,26929
category163,2023-01-01,25792
category163,2023-02-01,27281
category163,2023-03-01,24087
category163,2023-04-01,27349
category163,2023-05-01,31322
category163,2023-06-01,26946
category163,2023-07-01,28432
category163,2023-08-01,28486
category163,2023-09-01,28471
category164,2022-07-01,798561
category164,2022-08-01,550120
category164,2022-09-01,472104
category164,2023-01-01,578676
category164,2023-02-01,599986
category164,2023-03-01,444684
category164,2023-04-01,465207
category164,2023-05-01,480942
category164,2023-06-01,902611
category164,2023-07-01,697400
category164,2023-08-01,620736
category164,2023-09-01,599923
category165,2022-07-01,66871
category165,2022-08-01,63324
category165,2022-09-01,66243
category165,2023-01-01,69362
category165,2023-02-01,62039
category165,2023-03-01,64985
category165,2023-04-01,75215
category165,2023-05-01,76046
category165,2023-06-01,123688
category165,2023-07-01,66871
category165,2023-08-01,63324
category165,2023-09-01,66243
category166,2022-07-01,338489
category166,2022-08-01,240210
category166,2022-09-01,206928
category166,2023-01-01,332269
category166,2023-02-01,318594
category166,2023-03-01,284688
category166,2023-04-01,283033
category166,2023-05-01,253352
category166,2023-06-01,415544
category166,2023-07-01,309824
category166,2023-08-01,276454
category166,2023-09-01,264604
category167,2022-07-01,16
category167,2022-08-01,16
category167,2022-09-01,50
category167,2023-01-01,63
category167,2023-02-01,185
category167,2023-03-01,189
category167,2023-04-01,123
category167,2023-05-01,123
category167,2023-06-01,87
category167,2023-07-01,16
category167,2023-08-01,16
category167,2023-09-01,50
category168,2022-07-01,5556
category168,2022-08-01,4844
category168,2022-09-01,4324
category168,2023-01-01,4071
category168,2023-02-01,3734
category168,2023-03-01,3718
category168,2023-04-01,3977
category168,2023-05-01,3734
category168,2023-06-01,3833
category168,2023-07-01,4359
category168,2023-08-01,4153
category168,2023-09-01,4002
category169,2022-07-01,52934
category169,2022-08-01,51345
category169,2022-09-01,39466
category169,2023-01-01,83492
category169,2023-02-01,90516
category169,2023-03-01,95143
category169,2023-04-01,98776
category169,2023-05-01,127734
category169,2023-06-01,197194
category169,2023-07-01,52934
category169,2023-08-01,51345
category169,2023-09-01,39466
category17,2022-07-01,116133
category17,2022-08-01,104109
category17,2022-09-01,115388
category17,2023-01-01,142357
category17,2023-02-01,130127
category17,2023-03-01,133959
category17,2023-04-01,133131
category17,2023-05-01,138291
category17,2023-06-01,172457
category17,2023-07-01,142740
category17,2023-08-01,142951
category17,2023-09-01,156612
category170,2022-07-01,133
category170,2022-08-01,115
category170,2022-09-01,23
category170,2023-01-01,31
category170,2023-02-01,10
category170,2023-03-01,26
category170,2023-04-01,217
category170,2023-05-01,180
category170,2023-06-01,145
category170,2023-07-01,133
category170,2023-08-01,115
category170,2023-09-01,23
category171,2022-07-01,44689
category171,2022-08-01,43655
category171,2022-09-01,77045
category171,2023-01-01,106269
category171,2023-02-01,60146
category171,2023-03-01,72603
category171,2023-04-01,43683
category171,2023-05-01,53455
category171,2023-06-01,57597
category171,2023-07-01,50983
category171,2023-08-01,52093
category171,2023-09-01,64064
category172,2022-07-01,7550
category172,2022-08-01,5458
category172,2022-09-01,5938
category172,2023-01-01,18076
category172,2023-02-01,9565
category172,2023-03-01,11349
category172,2023-04-01,8398
category172,2023-05-01,9500
category172,2023-06-01,13778
category172,2023-07-01,8216
category172,2023-08-01,6561
category172,2023-09-01,7131
category173,2022-07-01,63627
category173,2022-08-01,47854
category173,2022-09-01,43104
category173,2023-01-01,60214
category173,2023-02-01,54091
category173,2023-03-01,54193
category173,2023-04-01,51582
category173,2023-05-01,51378
category173,2023-06-01,73984
category173,2023-07-01,67093
category173,2023-08-01,63156
category173,2023-09-01,63667
category174,2022-07-01,14553
category174,2022-08-01,11871
category174,2022-09-01,9250
category174,2023-01-01,8123
category174,2023-02-01,6910
category174,2023-03-01,6014
category174,2023-04-01,6047
category174,2023-05-01,6255
category174,2023-06-01,5421
category174,2023-07-01,9710
category174,2023-08-01,8388
category174,2023-09-01,7108
category175,2022-07-01,2445
category175,2022-08-01,1853
category175,2022-09-01,1582
category175,2023-01-01,4838
category175,2023-02-01,4265
category175,2023-03-01,1634
category175,2023-04-01,1437
category175,2023-05-01,1661
category175,2023-06-01,2087
category175,2023-07-01,1846
category175,2023-08-01,1290
category175,2023-09-01,931
category176,2022-07-01,12051
category176,2022-08-01,13152
category176,2022-09-01,13905
category176,2023-01-01,13480
category176,2023-02-01,11143
category176,2023-03-01,12090
category176,2023-04-01,13243
category176,2023-05-01,12198
category176,2023-06-01,16708
category176,2023-07-01,14754
category176,2023-08-01,15981
category176,2023-09-01,16914
category177,2022-07-01,4938
category177,2022-08-01,4175
category177,2022-09-01,4930
category177,2023-01-01,7100
category177,2023-02-01,5295
category177,2023-03-01,4389
category177,2023-04-01,3902
category177,2023-05-01,3881
category177,2023-06-01,6433
category177,2023-07-01,5932
category177,2023-08-01,5879
category177,2023-09-01,6657
category178,2022-07-01,10379
category178,2022-08-01,12086
category178,2022-09-01,11364
category178,2023-01-01,9951
category178,2023-02-01,6302
category178,2023-03-01,11310
category178,2023-04-01,16257
category178,2023-05-01,14912
category178,2023-06-01,17379
category178,2023-07-01,13933
category178,2023-08-01,15320
category178,2023-09-01,15252
category179,2022-07-01,638
category179,2022-08-01,1372
category179,2022-09-01,2331
category179,2023-01-01,1485
category179,2023-02-01,1869
category179,2023-03-01,2298
category179,2023-04-01,1785
category179,2023-05-01,1570
category179,2023-06-01,1481
category179,2023-07-01,1051
category179,2023-08-01,1379
category179,2023-09-01,1819
category18,2022-07-01,9136
category18,2022-08-01,8180
category18,2022-09-01,7140
category18,2023-01-01,11092
category18,2023-02-01,7996
category18,2023-03-01,7798
category18,2023-04-01,13810
category18,2023-05-01,11451
category18,2023-06-01,11575
category18,2023-07-01,10852
category18,2023-08-01,10581
category18,2023-09-01,10223
category180,2022-07-01,8924
category180,2022-08-01,4193
